
Date/Time,076 [°C],076 [m/s],657 [°C],657 [m/s],
14/03/2022 15:25:12,22.5,1.04,22.8,1.89,
14/03/2022 15:25:13,22.5,1.04,22.8,1.87,
14/03/2022 15:25:14,22.5,1.02,22.8,1.89,
14/03/2022 15:25:15,22.5,1.02,22.8,1.86,
14/03/2022 15:25:16,22.5,1.03,22.8,1.85,
14/03/2022 15:25:17,22.5,1.01,22.8,1.88,
14/03/2022 15:25:18,22.5,1.02,22.8,1.91,
14/03/2022 15:25:19,22.5,1.02,22.8,1.88,
14/03/2022 15:25:20,22.5,1.03,22.8,1.89,
14/03/2022 15:25:21,22.5,1.01,22.8,1.88,
14/03/2022 15:25:22,22.5,1.02,22.8,1.86,
14/03/2022 15:25:23,22.5,1.02,22.8,1.86,
14/03/2022 15:25:24,22.5,1.02,22.8,1.88,
14/03/2022 15:25:25,22.5,1.00,22.8,1.83,
14/03/2022 15:25:26,22.5,1.03,22.8,1.88,
14/03/2022 15:25:27,22.5,1.02,22.8,1.89,
14/03/2022 15:25:28,22.5,1.03,22.8,1.85,
14/03/2022 15:25:29,22.5,1.02,22.8,1.84,
14/03/2022 15:25:30,22.5,1.03,22.8,1.86,
14/03/2022 15:25:31,22.5,1.04,22.8,1.86,
14/03/2022 15:25:32,22.5,1.02,22.8,1.88,
14/03/2022 15:25:33,22.6,1.03,22.8,1.91,
14/03/2022 15:25:34,22.6,1.04,22.8,1.87,
14/03/2022 15:25:35,22.5,1.02,22.8,1.88,
14/03/2022 15:25:36,22.6,1.03,22.8,1.88,
14/03/2022 15:25:37,22.6,1.03,22.8,1.85,
14/03/2022 15:25:38,22.6,1.03,22.8,1.86,
14/03/2022 15:25:39,22.6,1.03,22.8,1.86,
14/03/2022 15:25:40,22.6,1.03,22.8,1.86,
14/03/2022 15:25:41,22.6,1.02,22.8,1.87,
14/03/2022 15:25:42,22.6,1.03,22.8,1.83,
14/03/2022 15:25:43,22.6,1.02,22.8,1.85,
14/03/2022 15:25:44,22.6,1.04,22.9,1.88,
14/03/2022 15:25:45,22.6,1.03,22.9,1.88,
14/03/2022 15:25:46,22.6,1.03,22.9,1.86,
14/03/2022 15:25:47,22.6,1.03,22.9,1.87,
14/03/2022 15:25:48,22.6,1.04,22.9,1.87,
14/03/2022 15:25:49,22.6,1.03,22.9,1.87,
14/03/2022 15:25:50,22.6,1.04,22.9,1.88,
14/03/2022 15:25:51,22.6,1.02,22.9,1.87,
14/03/2022 15:25:52,22.6,1.01,22.9,1.83,
14/03/2022 15:25:53,22.6,1.01,22.9,1.89,
14/03/2022 15:25:54,22.6,1.03,22.9,1.91,
14/03/2022 15:25:55,22.6,1.03,22.9,1.85,
14/03/2022 15:25:56,22.6,1.02,22.9,1.83,
14/03/2022 15:25:57,22.6,1.03,22.9,1.86,
14/03/2022 15:25:58,22.6,1.04,22.9,1.87,
14/03/2022 15:25:59,22.6,1.02,22.9,1.85,
14/03/2022 15:26:00,22.6,1.02,22.9,1.89,
14/03/2022 15:26:01,22.6,1.02,22.9,1.89,
14/03/2022 15:26:02,22.6,1.01,22.9,1.89,
14/03/2022 15:26:03,22.6,1.02,22.9,1.86,
14/03/2022 15:26:04,22.6,1.02,22.9,1.86,
14/03/2022 15:26:05,22.6,1.03,22.9,1.90,
14/03/2022 15:26:06,22.6,1.01,22.9,1.86,
14/03/2022 15:26:07,22.6,1.02,22.9,1.87,
14/03/2022 15:26:08,22.6,1.02,22.9,1.82,
14/03/2022 15:26:09,22.6,1.03,22.9,1.85,
14/03/2022 15:26:10,22.6,1.04,22.9,1.87,
14/03/2022 15:26:11,22.6,1.05,22.9,1.85,
14/03/2022 15:26:12,22.6,1.02,22.9,1.89,
14/03/2022 15:26:13,22.6,1.03,22.9,1.87,
14/03/2022 15:26:14,22.6,1.02,22.9,1.85,
14/03/2022 15:26:15,22.6,1.02,22.9,1.87,
14/03/2022 15:26:16,22.6,1.03,22.9,1.88,
14/03/2022 15:26:17,22.6,1.02,22.9,1.91,
14/03/2022 15:26:18,22.6,1.02,22.9,1.86,
14/03/2022 15:26:19,22.6,1.01,22.9,1.84,
14/03/2022 15:26:20,22.6,1.04,22.9,1.90,
14/03/2022 15:26:21,22.6,1.02,22.9,1.88,
14/03/2022 15:26:22,22.6,1.03,22.9,1.85,
14/03/2022 15:26:23,22.6,1.03,22.9,1.88,
14/03/2022 15:26:24,22.6,1.02,22.9,1.89,
14/03/2022 15:26:25,22.6,1.05,22.9,1.86,
14/03/2022 15:26:26,22.6,1.02,22.9,1.84,
14/03/2022 15:26:27,22.6,1.03,22.9,1.84,
14/03/2022 15:26:28,22.6,1.02,22.9,1.88,
14/03/2022 15:26:29,22.6,1.04,22.9,1.82,
14/03/2022 15:26:30,22.6,1.03,22.9,1.84,
14/03/2022 15:26:31,22.6,1.01,22.9,1.84,
14/03/2022 15:26:32,22.6,1.03,22.9,1.88,
14/03/2022 15:26:33,22.6,1.02,22.9,1.90,
14/03/2022 15:26:34,22.6,1.04,22.9,1.85,
14/03/2022 15:26:35,22.6,1.03,22.9,1.88,
14/03/2022 15:26:36,22.6,1.03,22.9,1.90,
14/03/2022 15:26:37,22.6,1.02,22.9,1.88,
14/03/2022 15:26:38,22.6,1.01,22.9,1.88,
14/03/2022 15:26:39,22.6,1.04,22.9,1.88,
14/03/2022 15:26:40,22.6,1.03,22.9,1.84,
14/03/2022 15:26:41,22.6,1.03,22.9,1.87,
14/03/2022 15:26:42,22.6,1.02,22.9,1.86,
14/03/2022 15:26:43,22.6,1.03,22.9,1.84,
14/03/2022 15:26:44,22.6,1.02,22.9,1.87,
14/03/2022 15:26:45,22.6,1.01,22.9,1.84,
14/03/2022 15:26:46,22.6,1.03,22.9,1.85,
14/03/2022 15:26:47,22.6,1.01,22.9,1.86,
14/03/2022 15:26:48,22.6,1.03,22.9,1.87,
14/03/2022 15:26:49,22.6,1.03,22.9,1.86,
14/03/2022 15:26:50,22.6,1.01,22.9,1.89,
14/03/2022 15:26:51,22.6,1.02,22.9,1.87,
14/03/2022 15:26:52,22.6,1.02,22.9,1.85,
14/03/2022 15:26:53,22.6,1.04,22.9,1.86,
14/03/2022 15:26:54,22.6,1.02,22.9,1.86,
14/03/2022 15:26:55,22.6,1.03,22.9,1.88,
14/03/2022 15:26:56,22.6,1.03,22.9,1.87,
14/03/2022 15:26:57,22.6,1.04,22.9,1.85,
